Proactive defense for evolving cyber threats	https://ieeexplore.ieee.org/abstract/document/5984062/	R Colbaugh, K Glass - Proceedings of 2011 IEEE International …, 2011 - ieeexplore.ieee.org	- observed instances of inno cent I malicious behavior- the so-called source data- is trans ferred--to permit classification of new target data. In what fol lows we present a new bipartite graph-based--approach to trans fer learning that is well-suited to cyber defense applications -	Cited by 61	https://www.osti.gov/servlets/purl/1108387	Proactive-defense-for-evolving-cyber-threats	6/2/2021 6:34:22 PM
Modeling malicious activities in cyber space	https://ieeexplore.ieee.org/abstract/document/7340429/	S Yu, G Wang, W Zhou - IEEE network, 2015 - ieeexplore.ieee.org	- in today-s cyber space landscape. A malicious network is an overlay network on the Internet---and because of our shal- low understanding of the Internet- it is even harder for us to understand--malicious networks- such as their structure- size- propagation behavior- and so on -	Cited by 47	http://ieee-trustcom.org/faculty/~csgjwang/papers/ShuiYu-IEEENetwork2015.pdf	Modeling-malicious-activities-in-cyber-space	6/2/2021 6:34:26 PM
Deterring malicious behavior in cyberspace	https://www.jstor.org/stable/26270834	S Jasper - Strategic studies quarterly, 2015 - JSTOR	- to result in significant consequences-a tough decision due to the in- ability to predict collateral--damage and the uncertainty over political effect.49 Equally- the threat of massive cyber retaliation--would probably encourage actors to seek low levels of malicious behavior that fall -	Cited by 31	https://www.jstor.org/stable/pdf/26270834.pdf	Deterring-malicious-behavior-in-cyberspace	6/2/2021 6:34:32 PM
Stuxnet worm impact on industrial cyber-physical system security	https://ieeexplore.ieee.org/abstract/document/6120048/	S Karnouskos - IECON 2011-37th Annual Conference of the …, 2011 - ieeexplore.ieee.org	- The importance of monitoring and control- which heavily relies on such cyber-physical systems---is paramount for European and world economies in - Using configuration for malicious behavior--detection eg via anti-virus programs may be a good start for existing well known attack -	Cited by 463	https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.259.7495&rep=rep1&type=pdf	Stuxnet-worm-impact-on-industrial-cyber-physical-system-security	6/2/2021 6:34:36 PM
Behavior rule specification-based intrusion detection for safety critical medical cyber physical systems	https://ieeexplore.ieee.org/abstract/document/6774867/	R Mitchell, R Chen - IEEE Transactions on Dependable and …, 2014 - ieeexplore.ieee.org	- Intrusion detection system -IDS- design for cyber physical systems -CPSs- has attracted--considerable attention -3-- -7- because of the - one studies user sessions -to detect live intruders----and the other studies the runtime behavior of programs -to detect malicious code- -	Cited by 191	https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.649.8206&rep=rep1&type=pdf	Behavior-rule-specification-based-intrusion-detection-for-safety-critical-medical-cyber-physical-systems	6/2/2021 6:34:42 PM
Secure control of networked cyber-physical systems	https://ieeexplore.ieee.org/abstract/document/7798283/	B Satchidanandan, PR Kumar - 2016 IEEE 55th Conference on …, 2016 - ieeexplore.ieee.org	- as cryptography- and those reported in -6-- -7-. Relatively less is known when it comes to security--of the physical layer - the problem of secure control with malicious Byzantine behavior. This paper--addresses this particular prob- lem. Specifically- we assume that the cyber layer is -	Cited by 20	https://par.nsf.gov/servlets/purl/10037666	Secure-control-of-networked-cyber-physical-systems	6/2/2021 6:34:47 PM
Enhancing cyber situational awareness for cyber-physical systems through digital twins	https://ieeexplore.ieee.org/abstract/document/8869197/	M Eckhart, A Ekelhart, E Weippl - 2019 24th IEEE International …, 2019 - ieeexplore.ieee.org	- may exhibit malicious behavior similar to their physical counterparts. Additional monitoring or--intrusion detection rules can be put in place to remedy this issue. The beauty of the proposed--framework is that the digital twins provide sufficient fidelity to advance cyber situational -	Cited by 12	https://www.researchgate.net/profile/Matthias_Eckhart/publication/336623459_Enhancing_Cyber_Situational_Awareness_for_Cyber-Physical_Systems_through_Digital_Twins/links/5e70009a92851c1a689a60d8/Enhancing-Cyber-Situational-Awareness-for-Cyber-Physical-Systems-through-Digital-Twins.pdf	Enhancing-cyber-situational-awareness-for-cyber-physical-systems-through-digital-twins	6/2/2021 6:34:51 PM
Resilient distributed control of multi-agent cyber-physical systems	https://link.springer.com/chapter/10.1007/978-3-319-01159-2_16	Q Zhu, L Bushnell, T Başar - Control of Cyber-Physical Systems, 2013 - Springer	- spirit as the node capturing and cloning attacks in sensor networks -3-. In addition- the malicious--behavior can also be induced through cyber attacks- where normal system behavior can be altered--by Stuxnet-like worms through the enterprise and process control networks -19- -	Cited by 37	http://publish.illinois.edu/science-of-security-lablet/files/2014/06/Resilient-Distributed-Control-of-Multi-agent-Cyber-Physical-Systems.pdf	Resilient-distributed-control-of-multi-agent-cyber-physical-systems	6/2/2021 6:34:55 PM
Analysis and detection of malicious insiders	https://apps.dtic.mil/sti/citations/ADA456356	M Maybury, P Chase, B Cheikes, D Brackney… - 2005 - apps.dtic.mil	- 7. Summary Malicious insiders pose perhaps the most serious threat to organizational cyber--assets. Malicious insider behavior is distinct from that of classical external intruders and--cannot be detected using traditional intrusion detection methods -	Cited by 144	https://apps.dtic.mil/sti/pdfs/ADA456356.pdf	Analysis-and-detection-of-malicious-insiders	6/2/2021 6:35:00 PM
Cyber security threats detection in internet of things using deep learning approach	https://ieeexplore.ieee.org/abstract/document/8812669/	F Ullah, H Naeem, S Jabbar, S Khalid, MA Latif… - IEEE …, 2019 - ieeexplore.ieee.org	- 124379 Page 2. F. Ullah et al.- Cyber Security Threats detection in IoT Using Deep Learning--Approach - Malicious behavior can be observed by function calls- function parameters- exploration---data flow- instruction traces- and visual investigation of codes -	Cited by 45	https://ieeexplore.ieee.org/iel7/6287639/8600701/08812669.pdf	Cyber-security-threats-detection-in-internet-of-things-using-deep-learning-approach	6/2/2021 6:35:05 PM
Scenario-based insider threat detection from cyber activities	https://ieeexplore.ieee.org/abstract/document/8444978/	P Chattopadhyay, L Wang… - IEEE Transactions on …, 2018 - ieeexplore.ieee.org	- From Cyber Activities - Abstract-An insider threat scenario refers to the outcome of a set of--malicious activities caused by intentional or unin - anomaly detec- tion techniques with the objective--of finding out anomalous- ness or abnormal changes in user behavior over time -	Cited by 25	https://personal.ntu.edu.sg/elpwang/PDF_web/08444978.pdf	Scenario-based-insider-threat-detection-from-cyber-activities	6/2/2021 6:35:19 PM
Predicting cyber security incidents using feature-based characterization of network-level malicious activities	https://dl.acm.org/doi/abs/10.1145/2713579.2713582	Y Liu, J Zhang, A Sarabi, M Liu, M Karir… - Proceedings of the 2015 …, 2015 - dl.acm.org	- This comparison also highlights the importance of capturing dynamic behavior -second order--statistics- in the malicious activities - advanced learning techniques to extract useful information--from large quantities of Internet measurement data in the cyber security domain -	Cited by 26	https://experts.illinois.edu/en/publications/predicting-cyber-security-incidents-using-feature-based-character	Predicting-cyber-security-incidents-using-feature-based-characterization-of-network-level-malicious-activities	6/2/2021 6:35:25 PM
Networked control systems under cyber attacks with applications to power networks	https://ieeexplore.ieee.org/abstract/document/5530638/	A Teixeira, H Sandberg… - Proceedings of the 2010 …, 2010 - ieeexplore.ieee.org	- CYBER ATTACKS ON NETWORKED CONTROL SYSTEMS Consider a NCS with an undirected--and weighted graph G - As it can be seen from -18-- the malicious data fsk may be chosen so that--yk - In this case- the healthy part of the network will see the same behavior from node -	Cited by 227	https://www.diva-portal.org/smash/get/diva2:410986/FULLTEXT01.pdf	Networked-control-systems-under-cyber-attacks-with-applications-to-power-networks	6/2/2021 6:35:31 PM
Cyber security awareness, knowledge and behavior: a comparative study	https://www.tandfonline.com/doi/abs/10.1080/08874417.2020.1712269	M Zwilling, G Klien, D Lesjak, Ł Wiechetek… - Journal of Computer …, 2020 - Taylor & Francis	- into effective cyber security mitigation behavior. For example- the -Phishing Simulator- is a popular--training resource- designed as an effective training process to increase awareness of suspicious--e-mails sent by hackers. Such e-mails often contain malicious software --malware -	Cited by 22	https://www.researchgate.net/profile/Fatih_Cetin/publication/339273589_Cyber_Security_Awareness_Knowledge_and_Behavior_A_Comparative_Study/links/5e46ef2ba6fdccd965a5c9be/Cyber-Security-Awareness-Knowledge-and-Behavior-A-Comparative-Study.pdf	Cyber-security-awareness--knowledge-and-behavior--a-comparative-study	6/2/2021 6:35:34 PM
Poirot: Aligning attack behavior with kernel audit records for cyber threat hunting	https://dl.acm.org/doi/abs/10.1145/3319535.3363217	SM Milajerdi, B Eshete, R Gjomemo… - Proceedings of the …, 2019 - dl.acm.org	- Behavior Discovery. Extracting malicious behaviors such as in- formation flows and causal--dependencies and searching for them as robust indicators have been investigated in prior--works. Christodor- escu et al - Similarly- Session 6D- Cyber Thread -	Cited by 22	https://arxiv.org/pdf/1910.00056	Poirot--Aligning-attack-behavior-with-kernel-audit-records-for-cyber-threat-hunting	6/2/2021 6:35:43 PM
Recurrent neural network language models for open vocabulary event-level cyber anomaly detection	https://www.aaai.org/ocs/index.php/WS/AAAIW18/paper/viewPaper/17039	AR Tuor, R Baerwolf, N Knowles, B Hutchinson… - Workshops at the Thirty …, 2018 - aaai.org	- language models- our approach provides an adap- tive model of normal network behavior - and--bidirectional recurrent neu- ral network language models at detecting malicious activity within ---superior performance on the Los Alamos National Labora- tory Cyber Security dataset -	Cited by 29	https://www.aaai.org/ocs/index.php/WS/AAAIW18/paper/viewFile/17039/15579	Recurrent-neural-network-language-models-for-open-vocabulary-event-level-cyber-anomaly-detection	6/2/2021 6:35:47 PM
A method for revealing and addressing security vulnerabilities in cyber-physical systems by modeling malicious agent interactions with formal verification	https://www.sciencedirect.com/science/article/pii/S1877050916324619	DC Wardell, RF Mills, GL Peterson, ME Oxley - Procedia computer science, 2016 - Elsevier	- 1146-1161 -2012- 9 Combita- JF- Giraldo- J.- Cardenas- AA and Quijano- N.- Response and--Reconfiguration of Cyber-Physical Control - 2011.2 12 Yu- WY- et al- Modeling and Verification--of Online Shopping Business Processes by Considering Malicious Behavior Patterns- IEEE -	Cited by 26	https://www.sciencedirect.com/science/article/pii/S1877050916324619/pdf?md5=73496108ae09a7511f574b0a8d451da3&pid=1-s2.0-S1877050916324619-main.pdf	A-method-for-revealing-and-addressing-security-vulnerabilities-in-cyber-physical-systems-by-modeling-malicious-agent-interactions-with-formal-verification	6/2/2021 6:35:51 PM
Can we beat legitimate cyber behavior mimicking attacks from botnets?	https://ieeexplore.ieee.org/abstract/document/6195714/	S Yu, S Guo, I Stojmenovic - 2012 Proceedings IEEE INFOCOM, 2012 - ieeexplore.ieee.org	- -11- to sustain their botnets and disguise their malicious activities and traces. Moreover---sophisticated hackers are trying their best to mimic legitimate cyber behavior to fly under--the radar -12-. Popular websites are the major victims of cyber attacks -	Cited by 41	https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.363.4053&rep=rep1&type=pdf	Can-we-beat-legitimate-cyber-behavior-mimicking-attacks-from-botnets-	6/2/2021 6:35:57 PM
Ember: a global perspective on extreme malicious behavior	https://dl.acm.org/doi/abs/10.1145/1850795.1850796	T Yu, R Lippmann, J Riordan, S Boyer - … on visualization for cyber …, 2010 - dl.acm.org	Geographical displays are commonly used for visualizing wide-spread malicious behavior of--Internet hosts. Placing dots on a world map or coloring regions by the magnitude of activity--often results in cluttered maps that invariably emphasize population-dense metropolitan -	Cited by 18	http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.375.1651&rep=rep1&type=pdf	Ember--a-global-perspective-on-extreme-malicious-behavior	6/2/2021 6:36:04 PM
Towards fundamental science of cyber security	https://link.springer.com/chapter/10.1007/978-1-4614-7597-2_1	A Kott - Network science and cybersecurity, 2014 - Springer	- of research literature generally recognized as falling into the realm of cyber security - technique---or architecture of defensive tool that detects certain types of malicious activities- with - this defensive--tool-s structure -eg- locations of interim processing points-- behavior -eg- algorithms -	Cited by 51	http://ndl.ethernet.edu.et/bitstream/123456789/65447/1/13.pdf#page=11	Towards-fundamental-science-of-cyber-security	6/2/2021 6:36:15 PM
Cyber threat intelligence model: an evaluation of taxonomies, sharing standards, and ontologies within cyber threat intelligence	https://ieeexplore.ieee.org/abstract/document/8240774/	V Mavroeidis, S Bromander - 2017 European Intelligence and …, 2017 - ieeexplore.ieee.org	- Then they proposed an ontology that models the knowledge on malware behavior - When new--set of process actions with malicious behaviors appear -input from -trans- formed- log files-- the ---Part of TAPIO is a cyber security ontology going by the name Integrated Cyber Analysis -	Cited by 111	https://www.duo.uio.no/bitstream/handle/10852/58492/CTI_Mavroeidis%25282017%2529.pdf?sequence=1	Cyber-threat-intelligence-model--an-evaluation-of-taxonomies--sharing-standards--and-ontologies-within-cyber-threat-intelligence	6/2/2021 6:36:21 PM
A hierarchical detection and response system to enhance security against lethal cyber-attacks in UAV networks	https://ieeexplore.ieee.org/abstract/document/7890467/	H Sedjelmaci, SM Senouci… - IEEE Transactions on …, 2017 - ieeexplore.ieee.org	- A. Intrusion Detection Mechanism IDS is the most reliable technique to detect the cyber- attacks ---ie- UDA can hear all packets within its radio range and can observe the behavior of UAVs ---Furthermore- in case when the UDA is detected as an abnormal or malicious node- it loses -	Cited by 93	https://ieeeprojects.eminents.in/uploads/basepaper/ETSNW018-2017.pdf	A-hierarchical-detection-and-response-system-to-enhance-security-against-lethal-cyber-attacks-in-UAV-networks	6/2/2021 6:36:28 PM
Early detection of cyber security threats using structured behavior modeling	http://www.cs.cmu.edu/~./xiaohuay/papers/draft_TISSEC.pdf	X Yan, JY Zhang - ACM Transactions on Information and System …, 2013 - cs.cmu.edu	- of malicious cyber activities. Dealing with such elaborated network intrusions calls for novel and--more proactive defense methodologies. In this paper- we propose an effective early intrusion--detection system called SID based on structured mod- eling of cyber attack behavior -	Cited by 19	http://www.cs.cmu.edu/~./xiaohuay/papers/draft_TISSEC.pdf	Early-detection-of-cyber-security-threats-using-structured-behavior-modeling	6/2/2021 6:36:37 PM
Ideal based cyber security technical metrics for control systems	https://link.springer.com/chapter/10.1007/978-3-540-89173-4_21	W Boyer, M McQueen - International Workshop on Critical Information …, 2007 - Springer	- Ideal Based Cyber Security Technical Metrics for Control Systems - The worst case loss for our--study was estimated by the plant designers to be about -100M based on the costs of--reconstruction- repair and lost production for the most extreme case of malicious behavior by -	Cited by 77	https://www.osti.gov/servlets/purl/924508	Ideal-based-cyber-security-technical-metrics-for-control-systems	6/2/2021 6:36:42 PM
The ai-based cyber threat landscape: A survey	https://dl.acm.org/doi/abs/10.1145/3372823	N Kaloudi, J Li - ACM Computing Surveys (CSUR), 2020 - dl.acm.org	- command and control -C2-- and actions on objectives- -45-- - Reconnaissance includes a--preliminary research on identification- selection- and profiling of potential targets to understand--their behavior. - In the Weaponization stage- a cyber weapon with malicious payload is -	Cited by 30	https://ntnuopen.ntnu.no/ntnu-xmlui/bitstream/handle/11250/2642553/%2528withoutACM%2529AIsurvey%2Bcopy.pdf?sequence=1	The-ai-based-cyber-threat-landscape--A-survey	6/2/2021 6:36:51 PM
Defense techniques against cyber attacks on unmanned aerial vehicles	https://csce.ucmss.com/cr/books/2018/LFS/CSREA2018/ESC4302.pdf	C Gudla, MS Rana, AH Sung - … on Embedded Systems, Cyber …, 2018 - csce.ucmss.com	- In -18- Robert Mitchell and Ing-Ray Chen developed behavior rule- based UAV intrusion detection--system for capturing malicious behavior when UAV is under attack and prohibit its continuation ---Embedded Systems- Cyber-physical Systems- - Applications - ESCS-18 -	Cited by 14	https://csce.ucmss.com/cr/books/2018/LFS/CSREA2018/ESC4302.pdf	Defense-techniques-against-cyber-attacks-on-unmanned-aerial-vehicles	6/2/2021 6:36:57 PM
Design methodologies for securing cyber-physical systems	https://ieeexplore.ieee.org/abstract/document/7331365/	M Al Faruque, F Regazzoni… - … Conference on Hardware …, 2015 - ieeexplore.ieee.org	- These countermeasures are only protecting only the cyber part of the device- not the physical--one - Hardware Trojans can be defined as a deliberate and malicious modification of a hardware--component carried out with the goal of altering its correct behavior -	Cited by 36	https://cpsl.pratt.duke.edu/sites/cpsl.pratt.duke.edu/files/images/CODES_ISSS15.pdf	Design-methodologies-for-securing-cyber-physical-systems	6/2/2021 6:37:02 PM
Resilient control of cyber-physical systems against denial-of-service attacks	https://ieeexplore.ieee.org/abstract/document/6623750/	Y Yuan, Q Zhu, F Sun, Q Wang… - 2013 6th International …, 2013 - ieeexplore.ieee.org	- Design of such systems requires a system per- spective towards cyber-physical systems--against threats and malicious behavior. -6- discusses the state awareness of ICSs under--attacks and provides some future research directions -	Cited by 99	http://publish.illinois.edu/science-of-security-lablet/files/2014/06/Resilient-Control-of-Cyber-Physical-Systems-against-Denial-of-Service-Attacks.pdf	Resilient-control-of-cyber-physical-systems-against-denial-of-service-attacks	6/2/2021 6:37:06 PM
